,code,Lat,Lon,he,geometry,dist,dist_to_france
509,1LAD,55.890653713,-347.173089684,73.5568763,POINT (1427885.1248281107 6221719.111434345),720.7011432038388,927762.0053103066
531,1SKH,64.689146969,-338.768801045,40.5399631,POINT (2363446.2566012843 7201162.900440317),489.7634905837697,2273904.520315995
574,3RIV,46.31476257,-72.57608384,-21.7295354,POINT (-8079132.69683873 5155735.7855037665),507.31408612519704,1802055.2652849169
575,3RV2,46.315914275,-72.573360944,-21.4912836,POINT (-8078829.585442527 5155863.99271791),580.3887605601972,1801748.1841199629
625,5MEN,-35.689171501,-220.662148769,11.7173256,POINT (15511018.64726383 -3972900.398325131),157.12647044352155,3235732.8839166877
655,7STH,-41.325812885,-211.751967268,8.8548693,POINT (16502895.51483079 -4600368.446976304),682.3467278896891,2898340.815875315
669,A089,46.142663244,-1.157508607,66.8694601,POINT (-128853.26872007143 5136577.776167581),617.9933810000937,617.9933810000937
677,A114,48.358541513,-4.562582453,123.5285246,POINT (-507904.35537028505 5383248.216732541),318.53954812487603,318.53954812487603
728,A485,-15.711423826,-313.662303817,3.8000983,POINT (5158288.743624973 -1748987.6999476263),542.6602724665486,329921.87984931166
770,A770,-24.15901511,-208.112998073,126.3528731,POINT (16907983.7126306 -2689369.260112202),5.431219492467885,1398397.7814211773
809,AA05,8.570514444,-278.770394135,-85.6070873,POINT (9042438.362230109 954065.3037424763),605.6850411371723,4031295.0317471256
825,AB02,52.970605628,-168.854670414,192.7803898,POINT (-18796815.928552516 5896660.845520271),963.5522496885308,7411764.073630753
827,AB06,54.885322793,-163.423453746,500.4120632,POINT (-18192215.65468282 6109806.185341211),162.94432699257388,7439165.519490322
837,AB18,66.858363675,-162.613507435,37.1417927,POINT (-18102052.843772404 7442638.999572499),665.559985859854,8656690.349459438
855,AB49,55.580101792,-133.068486722,17.5244492,POINT (-14813116.182524525 6187148.629723752),48.55869400527628,5695426.364726043
882,ABE1,16.471982303,-61.509335315,-17.1977128,POINT (-6847187.88629852 1833652.6823257736),664.0184224336448,0.0
951,ABVI,18.729683871,-64.332485088,-35.5673966,POINT (-7161459.481462026 2084978.871238709),727.7671457570349,151023.3961267973
968,AC18,58.925958374,-152.249531025,214.6697435,POINT (-16948340.267217707 6559607.680699314),365.33230652355206,7226365.312606556
970,AC20,60.929207644,-149.352502878,43.6355753,POINT (-16625844.569079885 6782608.369367712),421.2088866792141,7190229.839205144
971,AC21,55.921090251,-159.127721821,170.9414492,POINT (-17714016.964207407 6225107.291346015),94.1107830134691,7400949.002541083
978,AC29,59.429587661,-146.33997592,56.5251623,POINT (-16290491.602114316 6615671.436476734),735.3618784863537,6852953.744398754
980,AC31,64.637976517,-162.239126089,228.3417867,POINT (-18060376.902973186 7195466.631780015),403.85206316030064,8429556.632598009
983,AC34,57.220026691,-153.279177135,103.2254302,POINT (-17062959.947880182 6369704.234419643),143.59552696302185,7163217.827690676
984,AC35,59.375811338,-150.793244857,408.4231168,POINT (-16786227.232546657 6609685.083583639),667.6797039815735,7158118.340878234
987,AC38,57.753685253,-153.341871854,43.772982,POINT (-17069939.09207469 6429110.833798954),251.99120838979923,7211392.082885366
997,AC48,60.645861609,-147.34301598,379.5378681,POINT (-16402149.51083877 6751066.433033219),51.98746554686583,7028295.24267781
1006,AC60,52.714619602,-185.923731231,18.2657167,POINT (19378081.598558106 5868164.611455757),566.2165556345666,8136327.299645761
1030,ACAL,37.73076975,-0.86079657,67.3684024,POINT (-95823.43584899647 4200170.07580825),752.8635908068204,559055.7357271315
1031,ACAN,8.516833509,-77.291209096,17.5411273,POINT (-8604018.039363155 948089.5693929692),870.9800246785086,1899975.0690989445
1054,ACSB,33.274264933,-117.444891086,-12.2960356,POINT (-13073905.471964994 3704074.228862039),929.164972124371,2715058.6313930633
1056,ACSX,33.274265297,-117.444892069,-12.2912303,POINT (-13073905.581392054 3704074.2693823334),929.1088988429132,2715058.7064184393
1089,ADN1,39.297576316,-336.873005301,51.9086828,POINT (2574485.27347142 4374586.184906927),346.26185207907895,1543176.4578382464
1114,AESI,11.112528573,-74.230935159,0.009044,POINT (-8263349.903008387 1237041.0221720631),151.24608117516615,1456778.247751992
1119,AFY0,40.101069908,-336.565663457,114.3567598,POINT (2608698.411044961 4464030.682424026),343.0791988787031,1561224.9613829465
1121,AFYT,40.097136161,-336.564675327,106.1315937,POINT (2608808.4091734034 4463592.779711076),555.3495316253448,1561397.7063947234
1130,AGHI,56.195048361,-156.801867184,190.5203575,POINT (-17455104.01035739 6255604.168649903),539.6114830463815,7357457.657477231
1134,AGIO,35.191504135,-334.282003385,40.5830459,POINT (2862914.2874049316 3917500.3205575817),463.6711327455157,1955768.3656785053
1176,AIS5,55.069071975,-131.599536051,32.3986177,POINT (-14649593.341828367 6130261.050715132),385.46950983877036,5570165.592337306
1177,AIS6,55.068883013,-131.599211619,32.4203111,POINT (-14649557.226223331 6130240.015561513),343.7783002771516,5570130.632835382
