site_id;status;four_char_id;domes;date_installed;date_removed;X;Y;Z;Latitude;Longitude;Elevation;primaryDataCenter;secondaryDataCenter;SiteContact;location;state_province;country
ACHU00FRA;Active;ACHU;18362M001;2011-11-09T00:00Z;;4338815.846;279083.111;4651428.633;47.124441654115;3.6803328264592;327.19277574494;RENAG;ORPHEON;ORPHEON;ACHUN;Nievre (58);France (FRA)
ADAX00FRA;Active;ADAX;18363M001;2008-07-22T00:00Z;;4617008.301;-85071.884;4384968.209;43.710779633965;-1.0555987958648;70.765977500007;RENAG;ORPHEON;ORPHEON;DAX;Landes (40);France (FRA)
ADER00FRA;Decommissioned;ADER;18342M001;2022-10-26T14:00Z;2023-08-01T12:34Z;4687288.219;31080.066;4313523.821;42.813255027778;0.37990633611111;1791.488;RENAG;IGN;OMP;Adervielle;Occitania;France (FRA)
ADER10FRA;Active;ADER;18342M002;2023-08-01T15:58Z;;4687286.809;31078.502;4313525.763;42.813276536111;0.37988733611111;1791.766;RENAG;;OMP;Adervielle-Pouchergues;Occitania;France (FRA)
AGDE00FRA;Active;AGDE;19976M001;2006-09-04T12:00Z;;4640976.11;281124.973;4351569.972;43.296384488496;3.4664296209365;65.772;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.;OREME;Cap d'Agde - Agde;Herault;France (FRA)
AIGL00FRA;Active;AIGL;10059M001;2001-06-01T00:00Z;;4578299.812;286539.127;4418911.913;44.121399937704;3.5812632433351;1618.75;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Valleraugue;Gard;France (FRA)
ALLE00FRA;Active;ALLE;18364M001;2011-07-06T00:00Z;;4493263.044;291491.612;4503711.303;45.19877238954;3.7117499770044;1084.9173684819;RENAG;ORPHEON;ORPHEON;ALLEGRE;Haute-Loire (43);France (FRA)
ALPE00FRA;Active;ALPE;19985M001;2006-10-30T00:00Z;;4486705.503;478180.959;4495489.797;45.086616199095;6.0834653837951;1892.197;RENAG (ftp://renag.resif.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OSUG;Alpe d'Huez;Isere;France (FRA)
ANNO00FRA;Active;ANNO;18365M001;2006-05-19T00:00Z;;4484002.391;365948.89;4506607.293;45.24137678942;4.6656890495512;465.60153567418;RENAG;ORPHEON;ORPHEON;ANNONAY;Ardeche (07);France (FRA)
AOUS00FRA;Active;AOUS;18366M001;2013-03-20T00:00Z;;4522761.772;400284.594;4464757.485;44.71087402832;5.0577537079316;264.14252813347;RENAG;ORPHEON;ORPHEON;AOUSTE-SUR-SYE;Drome (26);France (FRA)
ARCH00FRA;Active;ARCH;18367M001;2011-10-26T00:00Z;;4384032.525;49996.123;4617046.051;46.673168095753;0.65338079726319;187.02869236004;RENAG;ORPHEON;ORPHEON;ARCHIGNY;Vienne (86);France (FRA)
ARES00FRA;Active;ARES;18381M001;2007-01-22T00:00Z;;4535251.728;-89782.401;4468813.458;44.764037002426;-1.134111426163;64.251497253776;RENAG;ORPHEON;ORPHEON;ARES;Gironde (33);France (FRA)
ARGR00FRA;Active;ARGR;18643M001;2007-06-28T12:00Z;;4411393.332;542029.319;4563154.138;45.946504305668;7.0048407168165;2837.234;RENAG (ftp://renag.unice.fr);;OSUG;Argentiere;Haute-Savoie;France (FRA)
ARLD00FRA;Active;ARLD;18368M001;2011-11-08T00:00Z;;4333783.054;340039.635;4652178.866;47.133511534714;4.4863809659961;414.75886096712;RENAG;ORPHEON;ORPHEON;ARNAY-LE-DUC;Cote-d'Or (21);France (FRA)
ARMI00FRA;Active;ARMI;18369M001;2006-10-10T00:00Z;;4648233.565;224574.405;4347188.898;43.241928175348;2.7660331065077;101.12487868313;RENAG;ORPHEON;ORPHEON;ARGENS MINERVOIS;Aude (11);France (FRA)
ARRO00FRA;Active;ARRO;18370M001;2011-09-22T00:00Z;;4266733.912;83642.894;4724503.315;48.100459340545;1.1230536408214;214.8821075391;RENAG;ORPHEON;ORPHEON;ARROU;Eure-et-Loir (28);France (FRA)
ARUF00FRA;Active;ARUF;19644M001;2014-03-13T00:00Z;;4664623.674;-35100.204;4335912.867;43.099550185133;-0.43112922577077;481.995;RENAG;IGN;OMP;ARUDY;Pyrenees-Atlantique;France (FRA)
ARVE00FRA;Active;ARVE;18371M001;2008-06-05T00:00Z;;4457979.673;-86191.045;4545455.663;45.743680329016;-1.1076245912826;62.06807840988;RENAG;ORPHEON;ORPHEON;ARVERT;Charente-Maritime (17);France (FRA)
AUBU00FRA;Active;AUBU;19977M001;2008-07-05T00:00Z;;4224986.634;533493.569;4733835.556;48.216852239334;7.1967114403932;1151.817;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr andftp://rgpdata.ensg.ign.fr);EOST;Aubure;Haut Rhin;France (FRA)
AVEN00FRA;Active;AVEN;18374M001;2006-04-19T00:00Z;;4408943.816;355213.268;4580798.713;46.194824025619;4.6061726928852;740.80566285457;RENAG;ORPHEON;ORPHEON;AVENAS;Rhone (69);France (FRA)
AVOT00FRA;Active;AVOT;18375M001;2011-11-07T16:42Z;;4290853.311;376470.451;4688727.611;47.619283225083;5.0141713147287;379.44991748966;RENAG;ORPHEON;ORPHEON;AVOT;Cote-d'Or (21);France (FRA)
AVR100FRA;Inactive;avr-01;18676M001;2007-12-07T00:00Z;;4499703.1;445421.217;4484547.814;44.956071356692;5.6532362542925;923.79;RENAG (ftp://renag.resif.fr);;OSUG;Avignonet;Isere;France (FRA)
AVR200FRA;Active;avr-02;18318M001;2019-09-06T12:00Z;;4499704.841;445418.991;4484548.802;44.956068027272;5.6532060120148;925.559;RENAG (ftp://renag.resif.fr);;OSUG;Avignonet;Isere;France (FRA)
BACA00FRA;Active;BACA;18382M001;2012-05-29T00:00Z;;4677553.604;248313.38;4314490.9;42.83953122168;3.0387607655017;64.33772384841;RENAG;ORPHEON;ORPHEON;LE BARCARES;Pyrenees-Orientales (66);France (FRA)
BACO00FRA;Active;BACO;18383M001;2006-03-20T00:00Z;;4136453.009;172160.19;4835801.295;49.622474531277;2.383288901611;143.03420639224;RENAG;ORPHEON;ORPHEON;BACOUEL;Oise (60);France (FRA)
BANN00FRA;Active;BANN;19999M001;2003-07-03T00:00Z;;4555127.67;331016.603;4437760.158;44.369204019685;4.1563214448671;357.614;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OSUG;Banne;Ardeche;France (FRA)
BARN00FRA;Active;BARN;18384M001;2012-08-01T00:00Z;;4531938.858;330358.116;4461564.684;44.668155105127;4.1692322761483;523.36940906383;RENAG;ORPHEON;ORPHEON;BARNAS;Ardeche (07);France (FRA)
BART00FRA;Active;BART;18385M001;2010-11-18T00:00Z;;4269525.488;560549.297;4689717.057;47.633062829272;7.4796267920667;321.02190892585;RENAG;ORPHEON;ORPHEON;BARTENHEIM;Haut-Rhin (68);France (FRA)
BAUB00FRA;Inactive;BAUB;19968M001;2006-09-04T12:00Z;;4594085.677;318588.162;4398388.809;43.876901878896;3.9669656404938;210.946;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr and ftp://rgpdata.ensg.ign.fr);OREME;Brouzet-les-Quissac;Gard;France (FRA)
BAZO00FRA;Active;BAZO;18376M001;2011-09-23T00:00Z;;4301368.238;-12781.889;4693749.4;47.689256277177;-0.17025887991199;83.232975273393;RENAG;ORPHEON;ORPHEON;BAZOUGES SUR LE LOIR;Sarthe (72);France (FRA)
BLIX00FRA;Active;BLIX;18675M001;2009-04-24T12:00Z;;4577595.022;510765.332;4398719.864;43.873540360898;6.366694473208;1077.093;RENAG;;OCA;BLIEUX;PROVENCE-COTE D'AZUR;France (FRA)
BLVR00FRA;Active;BLVR;19671M001;2013-07-03T00:00Z;;4302995.833;498731.73;4666742.001;47.323478169444;6.6112750138889;714.53;RENAG;OSU-THETA;THETA;Belvoir / Les Champs Renaud;Doubs (25);France (FRA)
BOUF00FRA;Active;BOUF;18335M001;2021-06-23T09:38Z;;4342889.307;-124197.149;4653974.419;47.160571312488;-1.638087691494;72.989;RENAG (ftp://renag.unice.fr);IGN ( ftp://rgpdata.ign.fr andftp://rgpdata.ensg.ign.fr);CNAM;Bouguenais;Pays de la Loire;France (FRA)
BUAN00FRA;Active;BUAN;19973M001;2007-11-13T00:00Z;;4217191.182;395196.344;4753189.07;48.486155135461;5.3535984007375;416.292;RENAG (ftp://renag.unice.fr);IGN ftp://rgpdata.ign.fr or rgpdata.ensg.ign.fr;EOST;Bure;Meuse;France (FRA)
BURE00FRA;Inactive;BURE;19952M001;1999-06-22T00:00Z;;4524030.921;468358.608;4460241.823;44.632839618007;5.9105945927137;2614.627;RENAG;;OCA;Saint Etienne en Devoluy;Hautes Alpes;France (FRA)
CGRO00FRA;Active;CGRO;18325M001;2020-11-25T13:54Z;;4557022.106;575701.768;4413236.017;44.047251471071;7.2001979872087;1969.364;RENAG;;OCA;Marie;ALPES-MARITIMES;France (FRA)
CHA200FRA;Active;CHA2;18304M001;2018-12-07T13:00Z;;4485810.093;463446.86;4498347.864;45.120236100015;5.8985274625363;2202.799;RENAG;;OSUG;Chamrousse;Isere;France (FRA)
CHAM00FRA;Inactive;CHAM;19998M001;2003-12-19T15:37Z;;4486466.536;462134.046;4497368.54;45.110716462815;5.8810813234203;1874.645;RENAG (ftp://renag.resif.fr);;OSUG;Chamrousse;Isere;France (FRA)
CHIZ00FRA;Active;CHIZ;10020M001;2000-10-19T00:00Z;;4427603.321;-31506.135;4575621.742;46.133461996683;-0.40770095375386;113.2173;IGN;BKG;OASU;Chize;Deux-Sevres;France (FRA)
CHMX00FRA;Inactive;CHMX;18674M001;2007-06-29T12:00Z;;4413057.686;531928.963;4560347.424;45.926156896902;6.8730030977003;1120.807;RENAG (ftp://renag.resif.fr);;OSUG;Chamonix;Haute-Savoie;France (FRA)
CHRN00FRA;Active;CHRN;19951M001;2000-10-26T13:00Z;;4588137.161;390285.009;4398679.386;43.881358491607;4.8620999245375;115.215;RENAG;;RESIF;Chateaurenard;Bouches du Rhone;France (FRA)
CHTG00FRA;Active;CHTG;19622M001;2015-02-20T00:00Z;;4135853.968;-118088.137;4837806.026;49.651237681682;-1.6354818620402;54.929;IGN;RENAG (ftp://renag.unice.fr);OASU;Cherbourg;Basse Normandie;France (FRA)
