The Geodesy Plotter,Date: 2026-05-11 11:16:31,Total: 5789,"solution: SPOTGINS
productType: POSITION
"

NAME,EPOCH START,EPOCH END,UPDATED,DOI,REF FRAME,CONSTELLATION,DOWNLOAD URL,YEARS,FILL RATE,NETWORKS,ANALYSIS CENTER,SOLUTION,STATION,PRODUCT TYPE
SPOTGINS_075000JPN.ENU,2000-05-04T00:00:00Z,2026-02-18T23:59:59Z,2026-04-08T09:35:12Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/075000JPN/SPOTGINS_075000JPN.enu,25.78017336552843,94.86308639354701,['SONEL'],ULR,SPOTGINS,075000JPN,POSITION
SPOTGINS_092800DEU.ENU,2004-08-01T00:00:00Z,2023-05-21T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/092800DEU/SPOTGINS_092800DEU.enu,18.796714547367355,97.1753057658707,,EOST,SPOTGINS,092800DEU,POSITION
SPOTGINS_092900DEU.ENU,2004-08-01T00:00:00Z,2024-03-03T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/092900DEU/SPOTGINS_092900DEU.enu,19.583048108854918,97.09294199860238,,EOST,SPOTGINS,092900DEU,POSITION
SPOTGINS_093000DEU.ENU,2004-08-01T00:00:00Z,2023-05-21T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/093000DEU/SPOTGINS_093000DEU.enu,18.796714547367355,97.77227722772277,,EOST,SPOTGINS,093000DEU,POSITION
SPOTGINS_093100DEU.ENU,2004-08-01T00:00:00Z,2023-05-21T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/093100DEU/SPOTGINS_093100DEU.enu,18.796714547367355,97.61211415259173,,EOST,SPOTGINS,093100DEU,POSITION
SPOTGINS_093200DEU.ENU,2004-08-01T00:00:00Z,2023-05-21T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/093200DEU/SPOTGINS_093200DEU.enu,18.796714547367355,97.68491555037858,,EOST,SPOTGINS,093200DEU,POSITION
SPOTGINS_093400DEU.ENU,2004-08-19T00:00:00Z,2023-05-21T23:59:59Z,2025-05-20T12:57:21Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/093400DEU/SPOTGINS_093400DEU.enu,18.747433233198976,97.34306569343065,,EOST,SPOTGINS,093400DEU,POSITION
SPOTGINS_0ALM00SWE.ENU,2004-07-25T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0ALM00SWE/SPOTGINS_0ALM00SWE.enu,20.840520159961468,99.67174369747899,,EOST,SPOTGINS,0ALM00SWE,POSITION
SPOTGINS_0ALV00SWE.ENU,2005-11-23T00:00:00Z,2024-04-19T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0ALV00SWE/SPOTGINS_0ALV00SWE.enu,18.40257811113646,99.65783992859268,,EOST,SPOTGINS,0ALV00SWE,POSITION
SPOTGINS_0ARJ00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0ARJ00SWE/SPOTGINS_0ARJ00SWE.enu,25.00821352067331,84.20188307422816,,EOST,SPOTGINS,0ARJ00SWE,POSITION
SPOTGINS_0ARK00SWE.ENU,2013-09-23T00:00:00Z,2019-08-25T23:59:59Z,2026-04-08T09:24:38Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0ARK00SWE/SPOTGINS_0ARK00SWE.enu,5.9117042804269015,98.24318076745261,,ULR,SPOTGINS,0ARK00SWE,POSITION
SPOTGINS_0BIE00SWE.ENU,2004-07-25T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0BIE00SWE/SPOTGINS_0BIE00SWE.enu,20.840520159961468,99.60609243697479,,EOST,SPOTGINS,0BIE00SWE,POSITION
SPOTGINS_0BIS00SWE.ENU,2010-12-16T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:29:47Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0BIS00SWE/SPOTGINS_0BIS00SWE.enu,15.175222418688367,99.3327321911632,,ULR,SPOTGINS,0BIS00SWE,POSITION
SPOTGINS_0BJO00SWE.ENU,2004-07-25T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0BJO00SWE/SPOTGINS_0BJO00SWE.enu,20.840520159961468,99.5141806722689,,EOST,SPOTGINS,0BJO00SWE,POSITION
SPOTGINS_0BOD00SWE.ENU,2004-09-29T00:00:00Z,2021-02-11T23:59:59Z,2026-04-08T09:30:20Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0BOD00SWE/SPOTGINS_0BOD00SWE.enu,16.364020045884352,99.18060200668897,,ULR,SPOTGINS,0BOD00SWE,POSITION
SPOTGINS_0BOR00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:07Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0BOR00SWE/SPOTGINS_0BOR00SWE.enu,25.00821352067331,84.1909349682505,,EOST,SPOTGINS,0BOR00SWE,POSITION
SPOTGINS_0BRU00SWE.ENU,2017-12-21T00:00:00Z,2026-02-19T23:59:59Z,2026-04-27T06:44:17Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0BRU00SWE/SPOTGINS_0BRU00SWE.enu,8.164271015539839,99.29601072745558,,ULR,SPOTGINS,0BRU00SWE,POSITION
SPOTGINS_0FRL00SWE.ENU,2010-12-15T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:29:49Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0FRL00SWE/SPOTGINS_0FRL00SWE.enu,15.177960269475498,99.22466642625317,,ULR,SPOTGINS,0FRL00SWE,POSITION
SPOTGINS_0GRN00SWE.ENU,2008-03-11T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0GRN00SWE/SPOTGINS_0GRN00SWE.enu,17.221879959185742,99.17342234938802,,EOST,SPOTGINS,0GRN00SWE,POSITION
SPOTGINS_0GRO00SWE.ENU,2006-03-03T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0GRO00SWE/SPOTGINS_0GRO00SWE.enu,19.2437827654828,98.81934566145092,,EOST,SPOTGINS,0GRO00SWE,POSITION
SPOTGINS_0HAS00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0HAS00SWE/SPOTGINS_0HAS00SWE.enu,25.00821352067331,83.6435296693672,,EOST,SPOTGINS,0HAS00SWE,POSITION
SPOTGINS_0HDG00SWE.ENU,2010-07-21T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:29:55Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0HDG00SWE/SPOTGINS_0HDG00SWE.enu,15.574834556493522,99.31494818197787,,ULR,SPOTGINS,0HDG00SWE,POSITION
SPOTGINS_0HED00SWE.ENU,2007-08-23T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0HED00SWE/SPOTGINS_0HED00SWE.enu,17.76386033792177,99.38385705483672,,EOST,SPOTGINS,0HED00SWE,POSITION
SPOTGINS_0HNA00SWE.ENU,2015-10-14T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:27:06Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0HNA00SWE/SPOTGINS_0HNA00SWE.enu,10.344855090374427,98.54574299312533,,ULR,SPOTGINS,0HNA00SWE,POSITION
SPOTGINS_0HOA00SWE.ENU,2012-08-08T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0HOA00SWE/SPOTGINS_0HOA00SWE.enu,12.80492809972875,98.84615384615385,,EOST,SPOTGINS,0HOA00SWE,POSITION
SPOTGINS_0HOS00SWE.ENU,2006-09-20T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0HOS00SWE/SPOTGINS_0HOS00SWE.enu,18.68720051588207,99.51676673012155,,EOST,SPOTGINS,0HOS00SWE,POSITION
SPOTGINS_0JAV00SWE.ENU,2006-06-15T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0JAV00SWE/SPOTGINS_0JAV00SWE.enu,18.94729634065962,99.40794223826714,,EOST,SPOTGINS,0JAV00SWE,POSITION
SPOTGINS_0JON00SWE.ENU,2000-05-29T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0JON00SWE/SPOTGINS_0JON00SWE.enu,25.00821352067331,84.0267133785855,,EOST,SPOTGINS,0JON00SWE,POSITION
SPOTGINS_0KRA00SWE.ENU,2006-03-10T00:00:00Z,2025-05-31T23:59:59Z,2025-07-15T10:48:08Z,,IGS20,G,https://geodesy-plotter.ipgp.fr/data/0KRA00SWE/SPOTGINS_0KRA00SWE.enu,19.224617809972877,99.57283212302434,,EOST,SPOTGINS,0KRA00SWE,POSITION
SPOTGINS_0KRO00SWE.ENU,2012-06-26T00:00:00Z,2026-02-19T23:59:59Z,2026-04-08T09:28:56Z,,IGS20,GE,https://geodesy-plotter.ipgp.fr/data/0KRO00SWE/SPOTGINS_0KRO00SWE.enu,13.640542975384694,99.3382795267696,,ULR,SPOTGINS,0KRO00SWE,POSITION
