#VERSION 1.0
#RADIUS    0.6378137000000000E+07
#1/FLAT    0.2982572221010000E+03
#ITRF2020

 1064816 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20161216_123500 20170801_094800 log_file
 1064817 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20170801_095900 20180220_140000 log_file
 1064818 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20180220_141700 20180807_085600 log_file
 1064819 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20180807_090700 20190131_152400 log_file
 1064820 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20190131_153500 20191024_095100 log_file
 1064821 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20191024_100100 20200219_133300 log_file
 1064822 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20200219_134500 20200525_154700 log_file
 1064823 GRG3 KERG00ATF  TRIMBLE NETR9         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20200525_160500 20230117_081500 log_file
 1064824 GRG3 KERG00ATF  TRIMBLE ALLOY         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20230117_082400 20230315_045100 log_file
 1064825 GRG3 KERG00ATF  TRIMBLE ALLOY         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20230315_050000 20230824_050600 log_file
 1064826 GRG3 KERG00ATF  TRIMBLE ALLOY         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20230824_051300 20250908_053800 log_file
 1064827 GRG3 KERG00ATF  TRIMBLE ALLOY         ecc_une        0.420000 0.000000        0.000000 0.000000        0.000000 0.000000            ASH701945E_M    SNOW CR6200539022         0.0 20250908_070500 20990101_000000 log_file

   10649      KETG00ATF                        mar_xyz  1408881.670000 0.000001  3917164.820000 0.000001 -4816199.700000 0.000001 vit_xyz  0.00000 0.0000  0.00000 0.0000  0.00000 0.0000  20100101_000000                 i20i20
 1064900 GRG3 KETG00ATF  TRIMBLE 5700          ecc_une        0.022900 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     NONE 12541846             0.0 20031215_114500 20071113_000000 log_file
 1064901 GRG3 KETG00ATF  TRIMBLE 5700          ecc_une        0.022900 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     TZGD 12541846             0.0 20071113_000000 20091203_101500 log_file
 1064902 GRG3 KETG00ATF  TRIMBLE 5700          ecc_une        0.020100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     NONE 12541846             0.0 20091203_101500 20091203_135500 log_file
 1064903 GRG3 KETG00ATF  TRIMBLE 5700          ecc_une        0.020100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     NONE 12541846             0.0 20091203_135500 20140323_120000 log_file
 1064904 GRG3 KETG00ATF  TRIMBLE NETR9         ecc_une        0.020100 0.000000        0.000000 0.000000        0.000000 0.000000            TRM41249.00     NONE 12541846             0.0 20140323_120000 20160420_120000 log_file
